[STATE] heartbeat t=2050-01-02 20:00 RUNNING step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 270 (+18), battle-trigger passes 31681 (+1799) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 150.3,-3.6 Gm
[CAMERA] pan -> 150.3,-3.6 Gm
[CAMERA] pan -> 150.3,-3.6 Gm
[CAMERA] pan -> 150.3,-3.6 Gm
[CAMERA] pan -> 150.3,-3.6 Gm
[CAMERA] pan -> 150.3,-3.6 Gm
[CAMERA] pan -> 150.3,-3.6 Gm
[CAMERA] pan -> 150.3,-3.6 Gm
[CAMERA] pan -> 150.3,-3.6 Gm
[CAMERA] pan -> 150.3,-3.6 Gm
[STATE] heartbeat t=2050-01-02 22:35 RUNNING step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 282 (+12), battle-trigger passes 33541 (+1860) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 150.3,-2.7 Gm
[CAMERA] pan -> 150.3,-2.7 Gm
[CAMERA] pan -> 150.3,-2.7 Gm
[CAMERA] pan -> 150.3,-2.7 Gm
[CAMERA] pan -> 150.3,-2.7 Gm
[CAMERA] pan -> 150.3,-2.7 Gm
[CAMERA] pan -> 150.3,-2.7 Gm
[CAMERA] pan -> 150.3,-2.7 Gm
[CAMERA] pan -> 150.3,-2.7 Gm
[CAMERA] pan -> 150.3,-2.7 Gm
[CAMERA] pan -> 150.4,-2.6 Gm
[CAMERA] pan -> 150.4,-2.6 Gm
[CAMERA] pan -> 150.4,-2.6 Gm
[CAMERA] pan -> 150.4,-2.6 Gm
[CAMERA] pan -> 150.4,-2.6 Gm
[CAMERA] pan -> 150.4,-2.6 Gm
[CAMERA] pan -> 150.4,-2.6 Gm
[CAMERA] pan -> 150.4,-2.6 Gm
[CAMERA] pan -> 150.4,-2.6 Gm
[CAMERA] pan -> 150.4,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.6 Gm
[CAMERA] pan -> 150.5,-2.7 Gm
[CAMERA] pan -> 150.5,-2.7 Gm
[CAMERA] pan -> 150.5,-2.7 Gm
[CAMERA] pan -> 150.5,-2.7 Gm
[CAMERA] pan -> 150.5,-2.7 Gm
[CAMERA] pan -> 150.5,-2.7 Gm
[CAMERA] pan -> 150.5,-2.7 Gm
[CAMERA] pan -> 150.5,-2.7 Gm
[CAMERA] pan -> 150.5,-2.7 Gm
[CAMERA] pan -> 150.5,-2.7 Gm
[STATE] heartbeat t=2050-01-03 01:05 RUNNING step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 300 (+18), battle-trigger passes 35341 (+1800) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 150.5,-2.9 Gm
[CAMERA] pan -> 150.5,-2.9 Gm
[CAMERA] pan -> 150.5,-2.9 Gm
[CAMERA] pan -> 150.5,-2.9 Gm
[CAMERA] pan -> 150.5,-2.9 Gm
[CAMERA] pan -> 150.5,-2.9 Gm
[CAMERA] pan -> 150.5,-2.9 Gm
[CAMERA] pan -> 150.5,-2.9 Gm
[CAMERA] pan -> 150.5,-2.9 Gm
