[STATE]   ⚠ TELEPORT AT-SUN (pos collapsed to origin) ship #743 'Sovereign' faction=722 sun-dist=0Gm parent=ROOT/null moveType=Orbit
[ENGINE] sensor scans 5292 (+0), battle-trigger passes 634525 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 1 other-faction ship(s) in-system, detects 0 (1 hidden from you)
[EMCON] your 7 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
[CAMERA] pan -> -141.2,793.3 Gm
